Time, Latency readValue (ms), Latency writeValue (ms), IOPS readValue (IOPS), IOPS writeValue (IOPS), Throughput readValue (KiB/s), Throughput writeValue (KiB/s), Queue Length value (Length)
"Wednesday, February 19th 2025, 5:30:00 AM IST",1.080858286,0.387360035,64602,24471,1383103.319,707321.3078,43.81707317
"Thursday, February 20th 2025, 5:30:00 AM IST",0.867308388,0.369587379,69405,25720,1248546.69,676721.1412,38.46527778
"Friday, February 21st 2025, 5:30:00 AM IST",0.722051329,0.363137119,71861,26379,1127111.058,649420.8994,38.05902778
"Saturday, February 22nd 2025, 5:30:00 AM IST",0.865803135,0.367570488,68649,25567,1244052.882,677222.0779,38.6875
